ID,name,description,category_name,picture
bf7fc9d453821a7411a55a2ed033c793,Asko HG1666SB,Тип подключения: газовая; Тип установки: независимый; Высота (см): 4.8; Ширина (см): 60.,Варочные панели,bf7fc9d453821a7411a55a2ed033c793.jpeg
a30e25346930deee5a93b8e12e2814c0,Asko HG1986AB,Тип подключения: газовая; Тип установки: независимый; Высота (см): 4.8; Ширина (см): 90.,Варочные панели,a30e25346930deee5a93b8e12e2814c0.jpeg
acb044ecc697b01307785f059fae9895,Asko HG1986SB,Тип подключения: газовая; Тип установки: независимый; Высота (см): 4.8; Ширина (см): 90.,Варочные панели,acb044ecc697b01307785f059fae9895.jpeg
63a7488d2675a2b432824c87770ec8bc,Asko HG1825AB,Тип подключения: газовая; Тип установки: независимый; Высота (см): 4.5; Ширина (см): 74.9.,Варочные панели,63a7488d2675a2b432824c87770ec8bc.jpeg
dc7f78eb10ab864a2813532add63fc44,Asko HI1611G,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5.6; Ширина (см): 60.,Варочные панели,dc7f78eb10ab864a2813532add63fc44.jpeg
34e7134603c3bc599fb19df5573fbcac,Asko HI1621G,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5.4; Ширина (см): 60.,Варочные панели,34e7134603c3bc599fb19df5573fbcac.jpeg
56a297dd7eb3742c6e145a6a66708079,Asko HI1694G,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 4.3; Ширина (см): 64.4.,Варочные панели,56a297dd7eb3742c6e145a6a66708079.jpeg
a1ceb220d21e7567ca16f5723ade4fec,Asko HI1655M,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5.2; Ширина (см): 64.4.,Варочные панели,a1ceb220d21e7567ca16f5723ade4fec.jpeg
427959855c6d14b2eb7868d3e43d59b6,Asko HI1794M,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 4.3; Ширина (см): 80.4.,Варочные панели,427959855c6d14b2eb7868d3e43d59b6.jpeg
ca3cdad944f87a176a807ed36c077c6a,Asko HI1194G,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5.7; Ширина (см): 111.4.,Варочные панели,ca3cdad944f87a176a807ed36c077c6a.jpeg
4fa1f404ce120581d0a7f5fde526b8d7,Asko HI1995G,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5; Ширина (см): 90.4.,Варочные панели,4fa1f404ce120581d0a7f5fde526b8d7.jpeg
9a59beef97a7f96596323d0778bc44ae,Asko HI1994G,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 4.3; Ширина (см): 90.4.,Варочные панели,9a59beef97a7f96596323d0778bc44ae.jpeg
d2fa2cc6e52538ef31117333e679115d,Asko HI1994M,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 4.3; Ширина (см): 90.4.,Варочные панели,d2fa2cc6e52538ef31117333e679115d.jpeg
4aba89505b6e98c347781f07692f397c,Kuppersberg FT6VS16,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 4.5; Ширина (см): 58.,Варочные панели,4aba89505b6e98c347781f07692f397c.jpeg
35b2cfa6006bc66edd6fb69a0829637e,Korting HGG 382 CTN,Тип подключения: газовая; Тип установки: независимый; Высота (см): 5.6; Ширина (см): 32.,Варочные панели,35b2cfa6006bc66edd6fb69a0829637e.jpeg
061d91cc4f74a0824c69b9c4ca94282f,Korting HGG 485 CTB,Тип подключения: газовая; Тип установки: независимый; Высота (см): 5.6; Ширина (см): 45.,Варочные панели,061d91cc4f74a0824c69b9c4ca94282f.jpeg
bd2a360204ded848ecf8b06fae43ce8d,Korting HGG 485 CTW,Тип подключения: газовая; Тип установки: независимый; Высота (см): 5.6; Ширина (см): 45.,Варочные панели,bd2a360204ded848ecf8b06fae43ce8d.jpeg
e7c3a6f0916414c5c1af440da0df3339,Korting HGG 665 CTN,Тип подключения: газовая; Тип установки: независимый; Высота (см): 5; Ширина (см): 59.,Варочные панели,e7c3a6f0916414c5c1af440da0df3339.jpeg
1141bbb53ac0047eab9cbafec31d5c93,Korting HGG 785 CTN,Тип подключения: газовая; Тип установки: независимый; Высота (см): 5; Ширина (см): 72.,Варочные панели,1141bbb53ac0047eab9cbafec31d5c93.jpeg
f5ae385f561bc5693ddc42f360a2f85c,Korting HGG 785 CTW,Тип подключения: газовая; Тип установки: независимый; Высота (см): 5; Ширина (см): 72.,Варочные панели,f5ae385f561bc5693ddc42f360a2f85c.jpeg
a5d70fa0c849e912853b8ce0f556561a,Korting HGG 985 CTW,Тип подключения: газовая; Тип установки: независимый; Высота (см): 5; Ширина (см): 86.,Варочные панели,a5d70fa0c849e912853b8ce0f556561a.jpeg
28e39d874c37df6986a54600c38299ac,Korting HK 62001 B,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5.2; Ширина (см): 58.,Варочные панели,28e39d874c37df6986a54600c38299ac.jpeg
28b629ee5f73cedb29d1a31860b0d934,Korting HK 62001 BW,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5.2; Ширина (см): 58.,Варочные панели,28b629ee5f73cedb29d1a31860b0d934.jpeg
614c40f08b116f333c3a0aa1f1c09199,Korting HK 62031 B,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5; Ширина (см): 58.,Варочные панели,614c40f08b116f333c3a0aa1f1c09199.jpeg
5005b98d15b1094b232ca6b698c809dc,Korting HK 62051 X,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5; Ширина (см): 58.,Варочные панели,5005b98d15b1094b232ca6b698c809dc.jpeg
6ca405f239e35721c11b18e42bec2930,Korting HK 62051 B,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5; Ширина (см): 58.,Варочные панели,6ca405f239e35721c11b18e42bec2930.jpeg
afa09787c197ea870f92abbbde6584fd,Korting HK 42031 BW,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5; Ширина (см): 44.,Варочные панели,afa09787c197ea870f92abbbde6584fd.jpeg
a649acd9bb1e7683ea0656cfb46fe0b1,Korting HK 42031 B,Тип подключения: электрическая; Тип установки: независимый; Высота (см): 5; Ширина (см): 44.,Варочные панели,a649acd9bb1e7683ea0656cfb46fe0b1.jpeg
62c57ca07ab1f7465d0fc47d8d4cccfe,Korting HG 7115 CTRR,Тип подключения: газовая; Тип установки: независимый; Высота (см): 6.7; Ширина (см): 70.,Варочные панели,62c57ca07ab1f7465d0fc47d8d4cccfe.jpeg
e34c419c175d784cabb716af5ed15bde,Korting HG 7115 CTRC,Тип подключения: газовая; Тип установки: независимый; Высота (см): 6.7; Ширина (см): 70.,Варочные панели,e34c419c175d784cabb716af5ed15bde.jpeg
